c Grafo gerado automaticamente
e 1199 329 34
e 128 750 20
e 365 1420 98
e 1414 671 68
e 313 843 24
e 368 587 29
e 1199 830 79
e 1442 377 74
e 276 1336 31
e 1236 679 99
e 341 902 98
e 30 228 20
e 1261 293 21
e 612 673 62
e 172 801 80
e 1498 945 48
e 1478 1059 44
e 1358 1425 71
e 1203 951 83
e 986 1301 14
e 586 831 53
e 1410 892 28
e 1102 860 69
e 839 557 19
e 232 1262 94
e 1446 657 89
e 1279 511 50
e 1156 1493 12
e 836 589 70
e 327 1475 51
e 823 1071 70
e 257 1391 16
e 112 1188 98
e 233 1335 80
e 762 551 84
e 980 689 11
e 138 739 59
e 59 313 1
e 1092 1243 30
e 1460 1192 54
e 760 316 48
e 108 672 57
e 203 849 28
e 80 782 1
e 483 740 95
e 1170 206 15
e 850 1174 20
e 173 359 99
e 1351 1296 65
e 181 456 31
e 1309 855 59
e 243 496 46
e 672 1484 25
e 60 737 54
e 1220 220 33
e 204 1434 34
e 218 1438 43
e 379 1477 80
e 1457 1074 39
e 155 640 13
e 1267 574 6
e 1302 798 77
e 323 1041 93
e 1454 1346 95
e 1464 113 8
e 250 1018 41
e 1084 66 35
e 1425 273 97
e 515 1185 78
e 1217 1498 3
e 849 1460 7
e 1472 562 11
e 462 51 62
e 121 1141 24
e 977 860 82
e 222 33 67
e 182 168 87
e 802 1251 77
e 1353 247 68
e 348 10 93
e 450 1316 77
e 954 355 95
e 815 681 82
e 1247 30 3
e 1489 1351 68
e 1464 841 85
e 339 765 13
e 944 323 27
e 512 1121 43
e 482 1126 12
e 29 542 67
e 365 959 74
e 1306 686 73
e 998 169 15
e 162 1251 33
e 775 539 91
e 353 1336 1
e 795 259 76
e 33 1378 4
e 973 1060 91
e 1086 1284 95
e 1273 150 48
e 1498 933 31
e 1375 765 37
e 154 1463 4
e 782 25 15
e 106 1214 90
e 1189 452 60
e 852 230 74
e 119 1421 43
e 1333 325 72
e 873 141 63
e 139 65 11
e 171 152 89
e 380 1158 32
e 1435 1380 5
e 1414 236 5
e 326 38 65
e 666 490 9
e 1485 257 23
e 303 19 17
e 1333 937 14
e 66 1362 23
e 557 1423 89
e 622 398 99
e 1072 409 35
e 1128 1119 80
e 501 891 12
e 696 307 9
e 481 1097 79
e 1309 1401 60
e 252 330 41
e 1193 447 35
e 1038 887 69
e 1274 348 17
e 1120 1113 99
e 386 159 8
e 108 1064 3
e 672 263 72
e 18 868 47
e 1080 1060 10
e 510 1001 10
e 74 292 73
e 559 699 54
e 208 1459 96
e 298 701 17
e 1010 1450 14
e 726 258 39
e 353 1278 59
e 474 1044 12
e 1002 704 18
e 184 1347 38
e 1149 455 79
e 89 769 7
e 175 613 2
e 1471 981 65
e 1307 1438 15
e 773 257 89
e 58 444 40
e 497 243 82
e 69 1080 54
e 196 126 70
e 734 1329 23
e 889 874 85
e 514 455 52
e 854 1290 30
e 1414 126 61
e 1064 1260 80
e 1460 1208 5
e 391 610 100
e 426 292 52
e 817 385 32
e 1123 342 57
e 112 339 5
e 538 133 23
e 1342 1172 91
e 1001 795 40
e 791 916 40
e 306 911 3
e 1459 778 28
e 742 1252 97
e 1491 13 41
e 407 1267 84
e 253 285 36
e 166 325 7
e 750 1446 98
e 1143 868 86
e 1173 1200 84
e 1353 889 7
e 5 1215 58
e 643 799 62
e 265 940 98
e 744 511 20
e 409 294 40
e 980 1456 86
e 821 567 2
e 616 154 21
e 1348 1031 100
e 503 681 77
e 1147 268 20
e 1213 375 38
e 686 800 16
e 1316 769 48
e 1097 568 76
e 502 336 34
e 1243 1477 8
e 1029 459 87
e 1131 98 63
e 330 638 31
e 1398 1383 23
e 543 993 20
e 136 430 2
e 79 973 30
e 16 1436 15
e 215 1229 64
e 1160 55 58
e 1109 1160 96
e 421 493 49
e 1235 472 52
e 884 206 80
e 1268 377 75
e 172 502 17
e 1465 878 19
e 1456 232 41
e 1339 644 85
e 213 443 79
e 1347 12 74
e 1361 550 62
e 862 288 16
e 975 179 45
e 252 1385 13
e 750 183 84
e 267 1434 31
e 658 1137 59
e 295 1340 13
e 135 1420 100
e 781 274 41
e 765 23 94
e 658 466 46
e 1362 1147 73
e 196 961 76
e 613 1163 45
e 913 1148 56
e 241 141 39
e 1132 1233 90
e 1155 189 90
e 1067 105 42
e 776 286 11
e 83 917 59
e 1102 132 90
e 909 321 48
e 71 1112 62
e 1011 736 29
e 4 907 19
e 367 35 3
e 377 1217 38
e 429 1046 30
e 959 502 49
e 1202 304 91
e 1064 1422 50
e 1176 602 92
e 296 206 14
e 1017 1160 71
e 981 1170 71
e 1389 208 48
e 867 518 48
e 1136 88 73
e 1381 372 49
e 941 91 52
e 1017 1168 88
e 1102 376 18
e 550 1320 17
e 150 1133 8
e 1477 1050 75
e 1279 1442 27
e 821 38 41
e 181 606 21
e 1291 60 99
e 181 1257 25
e 1452 540 86
e 772 302 98
e 98 1235 62
e 321 1402 98
e 205 73 4
e 233 836 37
e 123 38 75
e 1174 675 98
e 379 478 63
e 714 292 79
e 33 452 63
e 846 764 20
e 1026 1487 60
e 683 499 64
e 1371 1226 4
e 813 1188 81
e 546 501 51
e 136 251 79
e 566 1246 68
e 1420 104 78
e 443 1427 97
e 457 599 77
e 1240 1227 18
e 1015 1386 80
e 653 40 74
e 405 1193 61
e 59 1182 75
e 579 1217 28
e 1307 743 64
e 33 1394 26
e 433 700 12
e 112 145 14
e 837 1024 5
e 764 467 38
e 1135 376 1
e 617 949 72
e 483 862 79
e 554 1059 90
e 1499 414 11
e 530 263 63
e 495 222 54
e 1292 1066 10
e 780 789 4
e 612 1054 45
e 333 1431 3
e 1385 1206 55
e 965 574 84
e 1325 631 63
e 205 1136 48
e 628 207 85
e 122 983 16
e 1032 1082 24
e 991 117 50
e 393 628 57
e 953 586 85
e 358 1206 67
e 9 1053 51
e 670 597 7
e 343 1234 90
e 393 866 46
e 599 358 77
e 748 761 15
e 458 238 40
e 798 1371 93
e 1034 57 59
e 775 631 51
e 202 762 11
e 1198 349 48
e 387 909 19
e 440 1448 2
e 317 707 67
e 1055 1114 77
e 1446 72 59
e 1359 295 26
e 1309 30 91
e 104 909 69
e 1113 636 2
e 228 887 61
e 1493 1500 14
e 1284 152 88
e 142 1089 6
e 290 1173 89
e 479 269 49
e 246 1089 25
e 418 1072 46
e 717 797 68
e 1057 684 62
e 641 647 65
e 943 1056 37
e 336 1442 89
e 749 653 28
e 990 734 63
e 1475 731 23
e 448 1410 15
e 359 963 52
e 1087 800 55
e 1145 146 32
e 1448 151 37
e 119 1031 15
e 1122 942 57
e 917 1383 63
e 1223 766 8
e 901 1486 6
e 791 1011 80
e 1355 980 31
e 1102 1410 77
e 419 694 66
e 409 379 83
e 987 223 62
e 857 1473 77
e 40 466 74
e 761 1241 2
e 992 311 17
e 1060 612 21
e 500 653 98
e 1198 1315 28
e 56 188 6
e 893 1287 60
e 1467 1275 28
e 229 1245 52
e 1483 544 63
e 743 1165 67
e 940 195 49
e 1378 736 88
e 1016 697 85
e 144 556 37
e 166 221 12
e 974 375 34
e 240 713 1
e 33 17 13
e 1198 1127 23
e 307 539 66
e 894 1025 99
e 383 581 96
e 1230 467 82
e 612 309 28
e 1443 1095 92
e 1333 379 64
e 352 1436 54
e 399 77 90
e 385 935 1
e 1002 1233 66
e 296 979 36
e 510 612 89
e 507 105 58
e 1498 1004 15
e 1485 1056 30
e 1253 1444 15
e 42 464 37
e 380 89 61
e 1254 370 8
e 199 1398 2
e 5 1248 82
e 362 1169 83
e 643 807 63
e 64 710 8
e 1183 91 43
e 226 978 92
e 375 1126 48
e 1472 1473 82
e 419 1351 59
e 515 867 77
e 1176 982 40
e 990 714 45
e 472 1217 13
e 488 697 38
e 468 362 42
e 309 778 78
e 651 880 84
e 268 1234 3
e 480 890 6
e 939 896 80
e 251 1173 45
e 345 963 18
e 89 907 83
e 453 784 73
e 582 1452 26
e 496 1070 72
e 4 344 32
e 620 797 47
e 684 690 46
e 1159 1466 43
e 52 1298 17
e 228 341 68
e 457 774 39
e 1455 351 76
e 305 1312 38
e 1265 91 65
e 104 58 40
e 235 702 58
e 736 365 59
e 1450 797 64
e 1314 1107 65
e 724 1282 68
e 973 882 89
e 390 1128 4
e 585 48 76
e 489 752 55
e 1108 980 65
e 1407 661 15
e 946 372 74
e 1113 763 66
e 49 494 15
e 1055 302 76
e 771 636 68
e 243 678 38
e 1406 110 40
e 554 199 97
e 1394 1168 23
e 212 293 77
e 909 1225 1
e 1319 1449 48
e 745 233 46
e 874 873 36
e 65 223 31
e 1479 77 50
e 171 1396 94
e 952 200 38
e 569 507 17
e 954 937 68
e 987 719 87
e 365 850 32
e 954 513 69
e 534 586 30
e 1048 1236 57
e 990 308 37
e 1391 1125 49
e 63 1292 61
e 344 709 26
e 656 958 5
e 175 1452 59
e 105 1285 84
e 1486 346 81
e 1317 1104 58
e 965 947 28
e 375 719 52
e 1339 748 2
e 707 1117 27
e 524 375 10
e 253 805 15
e 607 169 48
e 1254 213 73
e 286 133 15
e 246 1372 20
e 887 617 74
e 499 1256 88
e 764 220 100
e 1077 425 33
e 1152 1051 5
e 338 1414 14
e 59 164 9
e 386 1446 95
e 1453 30 42
e 294 1416 65
e 1265 1450 49
e 1286 652 30
e 1132 382 78
e 1309 284 60
e 562 1015 81
e 802 746 73
e 1299 1269 68
e 1289 526 68
e 923 1123 44
e 332 978 89
e 526 1132 16
e 437 1125 56
e 621 371 59
e 642 298 18
e 1230 292 7
e 1313 474 53
e 1397 1000 80
e 953 644 56
e 803 384 81
e 972 1217 74
e 1080 216 91
e 795 747 27
e 997 678 78
e 591 1066 14
e 505 268 54
e 1369 1492 40
e 633 1443 49
e 701 1044 70
e 535 91 87
e 1365 221 96
e 691 1280 93
e 1266 1117 24
e 385 1334 44
e 209 987 98
e 1471 24 92
e 499 1498 32
e 117 1494 89
e 512 63 53
e 95 736 17
e 1451 220 61
e 1076 1494 9
e 1180 1037 81
e 656 538 49
e 84 51 7
e 410 426 37
e 641 568 68
e 1167 201 10
e 43 593 90
e 1326 843 84
e 767 980 13
e 1053 22 95
e 478 623 51
e 848 91 99
e 849 696 35
e 497 1159 95
e 959 1161 93
e 935 1082 93
e 1457 602 69
e 149 1075 6
e 131 292 29
e 523 71 49
e 1040 616 78
e 39 992 90
e 36 61 52
e 989 649 69
e 740 446 23
e 972 97 13
e 1116 105 27
e 895 550 27
e 534 339 16
e 68 227 92
e 871 1245 99
e 373 1198 7
e 1487 847 61
e 671 1202 83
e 21 887 71
e 40 995 20
e 1138 158 94
e 1218 898 37
e 485 1379 76
e 778 864 13
e 416 1380 92
e 529 1197 62
e 362 250 38
e 2 871 28
e 862 922 85
e 463 225 62
e 312 67 47
e 1152 216 2
e 1093 614 59
e 486 1283 60
e 752 481 90
e 941 157 58
e 1094 1345 67
e 1014 500 20
e 1407 369 65
e 798 310 28
e 367 1261 86
e 1237 390 10
e 1281 1380 36
e 876 1398 8
e 1135 279 38
e 1239 392 4
e 879 1304 33
e 959 734 23
e 764 63 64
e 1361 534 31
e 460 371 7
e 310 387 2
e 253 846 92
e 411 603 45
e 913 1414 78
e 199 979 89
e 720 1011 3
e 1013 1137 43
e 1217 1452 79
e 31 1243 78
e 1457 498 61
e 122 321 83
e 1492 195 59
e 1147 218 58
e 685 1143 97
e 1288 620 87
e 1005 1197 11
e 987 928 72
e 186 1368 55
e 406 171 3
e 1116 407 32
e 29 199 95
e 426 984 5
e 13 35 21
e 115 349 92
e 803 1418 12
e 900 1499 68
e 1342 1201 61
e 765 1417 27
e 1175 802 69
e 145 899 41
e 1346 353 37
e 256 535 18
e 7 231 16
e 289 13 32
e 1377 1340 16
e 1029 12 66
e 82 94 35
e 1028 568 77
e 68 1299 28
e 1065 463 33
e 1411 250 85
e 485 471 72
e 1487 525 53
e 974 1334 28
e 1052 297 45
e 427 316 64
e 650 416 3
e 556 350 91
e 211 807 29
e 1205 253 11
e 1 1480 43
e 977 1150 24
e 806 1032 99
e 913 344 73
e 472 692 69
e 542 955 71
e 317 62 76
e 1071 1460 51
e 63 229 85
e 302 177 29
e 1345 410 48
e 588 492 31
e 376 92 36
e 1407 1435 68
e 86 568 73
e 958 344 70
e 247 649 36
e 911 181 33
e 1409 228 3
e 962 19 45
e 96 1378 64
e 259 399 55
e 314 354 8
e 794 1225 8
e 1315 731 13
e 561 1219 12
e 384 1067 25
e 1088 625 24
e 307 388 56
e 914 148 48
e 69 1307 42
e 754 81 84
e 1444 637 18
e 1467 442 13
e 397 1492 91
e 536 974 26
e 397 25 56
e 1260 512 19
e 687 180 5
e 785 243 99
e 863 481 80
e 283 435 4
e 674 938 8
e 60 1230 43
e 806 1171 17
e 707 1450 100
e 965 213 96
e 1257 273 52
e 1280 1467 25
e 680 1203 22
e 1041 727 36
e 875 1124 70
e 1311 784 52
e 234 1259 23
e 1404 326 78
e 617 1393 96
e 441 365 15
e 1013 1125 90
e 709 155 47
e 196 1087 31
e 1443 309 31
e 365 280 28
e 1464 482 58
e 1241 211 81
e 256 1003 32
e 1427 722 7
e 35 364 81
e 1067 571 57
e 258 135 99
e 71 764 13
e 1343 277 76
e 282 1035 95
e 853 879 88
e 415 1497 94
e 544 910 82
e 886 1219 85
e 992 117 86
e 1377 155 63
e 1141 659 97
e 277 832 85
e 729 1212 76
e 1062 802 72
e 913 298 19
e 448 1102 86
e 1427 1500 37
e 1406 123 77
e 394 290 49
e 1456 1133 68
e 1126 1029 28
e 290 1161 41
e 759 1107 65
e 1120 1366 40
e 1317 151 56
e 802 588 76
e 1166 1144 62
e 804 758 37
e 607 1098 1
e 1499 1175 41
e 1075 364 94
e 619 559 20
e 962 988 55
e 115 783 52
e 792 721 31
e 870 978 92
e 1485 421 65
e 564 1448 83
e 835 260 30
e 798 771 75
e 433 1260 56
e 1322 448 30
e 773 1332 33
e 1336 1129 37
e 880 870 33
e 972 351 74
e 389 1224 19
e 71 703 22
e 523 484 39
e 1020 741 90
e 866 107 1
e 572 34 47
e 1474 322 67
e 432 25 83
e 1230 800 96
e 1269 1391 15
e 312 989 17
e 1453 337 85
e 458 1019 66
e 1252 1016 92
e 1135 181 8
e 920 882 44
e 883 327 46
e 555 1224 34
e 776 1369 73
e 7 420 27
e 1004 112 25
e 486 1192 37
e 1470 108 52
e 1461 812 29
e 1147 512 6
e 779 556 57
e 835 222 29
e 1278 893 41
e 829 1323 28
e 1124 140 42
e 381 378 65
e 949 218 28
e 1370 34 87
e 51 282 76
e 691 513 86
e 496 1236 65
e 1005 788 69
e 1361 573 77
e 1423 714 54
e 809 1462 69
e 1304 265 33
e 672 1373 79
e 1269 952 23
e 1419 590 5
e 54 674 90
e 1008 1346 78
e 87 773 29
e 1326 825 48
e 1031 1255 45
e 1470 1145 20
e 254 508 96
e 139 839 13
e 574 1454 38
e 949 193 85
e 881 1046 99
e 432 1491 54
e 1234 743 41
e 1254 979 44
e 186 482 21
e 903 400 53
e 200 1237 62
e 1269 1031 80
e 1467 465 10
e 918 544 35
e 421 1109 36
e 765 1052 86
e 141 72 37
e 654 1323 3
e 1116 203 55
e 890 1242 1
e 443 352 49
e 694 1148 99
e 205 191 67
e 1007 786 70
e 44 483 84
e 806 88 44
e 475 841 77
e 293 603 55
e 934 1356 3
e 182 668 88
e 575 276 16
e 1366 1441 58
e 1036 1221 82
e 1166 592 15
e 537 1396 66
e 1490 292 34
e 768 515 49
e 1198 192 58
e 806 516 61
e 823 516 64
e 66 516 82
e 412 567 52
e 1019 384 63
e 245 325 57
e 629 1048 65
e 6 1369 3
e 787 1308 81
e 812 1453 84
e 343 21 99
e 67 518 19
e 821 698 70
e 262 543 1
e 1073 115 52
e 1158 217 61
e 1280 669 69
e 3 545 33
e 304 1243 30
e 531 1157 13
e 1099 1018 41
e 46 558 63
e 58 1162 80
e 813 350 42
e 584 1115 61
e 1204 1396 51
e 843 1249 100
e 425 708 8
e 1160 1379 9
e 1305 1145 9
e 1196 961 38
e 183 655 45
e 241 580 56
e 959 592 11
e 944 1029 33
e 1272 749 78
e 367 977 63
e 1326 1244 85
e 1285 1025 64
e 566 1017 53
e 173 1114 51
e 749 564 86
e 1366 1351 44
e 1207 147 55
e 1497 120 3
e 1050 63 38
e 602 1443 98
e 1120 1330 41
e 269 1357 39
e 675 815 89
e 816 702 5
e 994 281 82
e 987 416 33
e 520 464 71
e 872 467 57
e 742 240 50
e 882 1442 89
e 1352 1224 25
e 604 930 10
e 479 1352 74
e 648 1121 21
e 287 668 34
e 946 154 52
e 1487 1006 41
e 796 250 80
e 416 618 71
e 646 64 26
e 930 869 7
e 654 480 1
e 1056 1180 86
e 573 1081 66
e 1162 933 22
e 1080 382 3
e 998 833 58
e 112 600 55
e 723 844 10
e 329 725 33
e 174 1287 25
e 93 566 36
e 938 785 87
e 70 892 19
e 772 351 4
e 993 1492 97
e 582 4 11
e 1064 687 13
e 633 1357 18
e 1223 419 94
e 323 705 68
e 816 1096 98
e 1474 140 38
e 779 69 62
e 597 13 26
e 72 808 78
e 1020 156 43
e 524 607 7
e 1343 1268 45
e 390 659 54
e 751 1211 85
e 1185 935 20
e 1396 1187 17
e 1155 478 10
e 95 900 87
e 25 870 26
e 841 1314 55
e 1099 364 31
e 35 1096 40
e 477 248 87
e 157 1072 2
e 266 393 44
e 710 853 96
e 1080 1163 77
e 1261 260 16
e 174 675 72
e 606 1458 65
e 510 902 23
e 660 1265 40
e 460 424 64
e 85 1498 56
e 246 1204 90
e 955 1381 36
e 880 917 51
e 577 638 79
e 274 69 16
e 79 1366 61
e 1206 108 32
e 660 524 53
e 356 482 81
e 858 627 56
e 815 1172 38
e 911 1444 30
e 1080 523 85
e 1395 585 79
e 848 135 46
e 271 1054 95
e 918 1192 88
e 1207 540 5
e 668 294 56
e 491 1196 52
e 92 1458 37
e 118 1267 55
e 956 786 68
e 945 970 67
e 859 816 11
e 1368 734 35
e 1061 1210 10
e 1071 1153 66
e 1288 80 24
e 916 974 84
e 739 490 51
e 1090 1248 53
e 536 1463 16
e 1030 921 24
e 954 1425 27
e 986 1467 95
e 1000 728 77
e 504 1217 45
e 1266 1278 7
e 1184 636 13
e 583 1420 80
e 1343 441 85
e 1493 476 91
e 1066 468 24
e 757 837 24
e 1187 868 7
e 493 484 11
e 720 194 11
e 663 44 96
e 1434 628 73
e 470 724 73
e 722 378 48
e 917 1258 46
e 1460 1120 12
e 1144 1062 30
e 426 1432 11
e 638 915 35
e 445 641 23
e 807 386 45
e 831 978 25
e 381 1234 11
e 770 1092 6
e 1279 282 12
e 169 593 42
e 202 642 14
e 490 503 10
e 794 786 41
e 432 100 7
e 1059 266 63
e 1287 287 78
e 275 1092 57
e 961 843 48
e 421 330 31
e 1100 895 5
e 457 721 99
e 858 58 89
e 4 1351 96
e 322 201 90
e 1286 1189 59
e 386 524 94
e 963 162 3
e 877 202 26
e 1223 1101 22
e 1461 1334 65
e 1370 785 92
e 1188 998 52
e 1417 1363 18
e 738 1209 76
e 136 463 45
e 1128 250 24
e 836 630 100
e 79 123 55
e 947 541 34
e 21 109 6
e 599 414 39
e 91 219 61
e 1268 80 45
e 1036 1170 21
e 1406 286 60
e 772 382 90
e 100 450 99
e 175 640 90
e 1378 152 62
e 860 787 87
e 1204 1154 82
e 113 819 12
e 710 695 29
e 962 929 20
e 1195 556 70
e 629 885 85
e 636 75 54
e 1146 573 96
e 1273 859 3
e 174 236 53
e 670 800 48
e 720 985 21
e 820 1309 32
e 159 405 84
e 1168 776 18
e 7 749 26
e 186 1257 47
e 713 1490 95
e 925 1288 32
e 846 564 75
e 655 501 34
e 594 822 25
e 197 668 2
e 323 939 75
e 280 933 83
e 577 808 31
e 197 1362 37
e 1004 1139 20
e 1013 668 27
e 1362 396 1
e 958 120 12
e 1298 931 45
e 433 243 36
e 1462 1025 94
e 434 500 47
e 1200 1079 64
e 125 730 89
e 1167 160 34
e 934 1127 21
e 96 1025 51
e 1261 978 37
e 165 51 42
e 1074 994 26
e 7 964 91
e 813 417 13
e 1479 740 15
e 789 361 82
e 13 263 64
e 1442 819 60
e 1211 1382 33
e 42 938 98
e 1027 843 5
e 1429 264 84
e 382 1498 15
e 86 1470 68
e 416 1071 14
e 1367 154 91
e 1424 1187 66
e 553 359 7
e 697 78 98
e 661 811 4
e 902 220 83
e 1179 1412 33
e 1041 300 17
e 1389 101 2
e 263 1377 83
e 1019 1479 55
e 332 1155 81
e 514 1231 80
e 258 21 37
e 874 439 7
e 382 1193 72
e 887 1300 99
e 114 246 61
e 405 18 53
e 481 399 65
e 837 1041 74
e 357 984 47
e 480 874 28
e 1128 334 42
e 595 452 77
e 140 142 28
e 622 1104 15
e 617 758 82
e 172 606 93
e 783 379 78
e 674 1394 85
e 1209 446 9
e 1303 1456 24
e 719 945 85
e 152 255 94
e 992 477 53
e 85 1453 52
e 746 946 39
e 1019 405 46
e 662 168 31
e 299 492 19
e 1257 957 37
e 239 539 5
e 1477 688 24
e 404 1212 68
e 1006 1086 76
e 375 510 69
e 322 507 16
e 1291 623 18
e 208 350 87
e 542 936 84
e 1040 553 28
e 1269 1297 100
e 1346 1341 21
e 1030 1123 76
e 1224 1440 32
e 999 1176 45
e 649 1453 69
e 539 469 20
e 1489 59 78
e 212 285 66
e 155 244 86
e 374 968 90
e 223 1126 38
e 1178 116 99
e 44 1314 62
e 50 1414 17
e 525 697 80
e 19 211 8
e 1175 1469 75
e 1381 107 12
e 856 271 14
e 13 1370 55
e 517 1383 94
e 927 530 38
e 1004 334 63
e 796 1193 10
e 332 32 49
e 1264 1389 70
e 157 216 72
e 692 212 94
e 880 649 68
e 489 941 60
e 558 1147 91
e 1489 1306 50
e 928 102 51
e 951 1017 19
e 227 581 64
e 1411 290 18
e 970 721 60
e 155 617 95
e 458 1409 18
e 1064 692 81
e 319 450 28
e 336 1277 61
e 603 585 88
e 47 422 41
e 137 1106 30
e 1209 751 28
e 762 150 84
e 508 1179 35
e 371 800 54
e 618 1464 35
e 672 498 48
e 884 917 16
e 1368 184 31
e 403 675 81
e 47 110 93
e 1062 1068 65
e 1440 906 23
